iter	Passed	Remaining
0	2	2062
1	3	1796
2	5	1715
3	6	1655
4	8	1597
5	9	1544
6	11	1569
7	12	1543
8	13	1528
9	15	1514
10	16	1497
11	18	1489
12	19	1470
13	20	1473
14	22	1474
15	23	1471
16	25	1465
17	26	1466
18	28	1459
19	29	1464
20	31	1462
21	32	1452
22	34	1448
23	35	1443
24	36	1442
25	38	1437
26	39	1432
27	41	1437
28	42	1435
29	44	1436
30	45	1434
31	47	1436
32	48	1429
33	50	1422
34	51	1419
35	53	1420
36	54	1418
37	55	1416
38	57	1411
39	58	1408
40	60	1404
41	61	1407
42	63	1410
43	64	1411
44	66	1410
45	67	1408
46	69	1404
47	70	1406
48	72	1408
49	74	1409
50	75	1407
51	77	1405
52	78	1403
53	79	1399
54	81	1403
55	83	1403
56	84	1402
57	86	1404
58	87	1403
59	89	1398
60	90	1398
61	92	1397
62	94	1399
63	95	1397
64	96	1393
65	98	1389
66	99	1385
67	100	1380
68	102	1377
69	103	1374
70	104	1369
71	105	1364
72	107	1359
73	108	1353
74	109	1350
75	110	1343
76	111	1338
77	112	1332
78	113	1327
79	115	1323
80	116	1319
81	117	1314
82	118	1309
83	119	1304
84	120	1299
85	121	1295
86	122	1290
87	124	1288
88	125	1284
89	126	1279
90	127	1275
91	128	1271
92	129	1267
93	131	1262
94	132	1261
95	133	1256
96	134	1252
97	135	1248
98	136	1244
99	137	1241
100	139	1238
101	140	1239
102	142	1237
103	143	1235
104	144	1231
105	145	1228
106	146	1224
107	147	1222
108	149	1219
109	150	1215
110	151	1212
111	152	1209
112	153	1206
113	154	1203
114	156	1203
115	157	1201
116	158	1197
117	159	1195
118	161	1194
119	162	1193
120	163	1191
121	165	1188
122	166	1185
123	167	1184
124	168	1181
125	169	1179
126	171	1176
127	172	1173
128	173	1170
129	174	1167
130	175	1164
131	176	1162
132	177	1160
133	179	1157
134	180	1155
135	181	1155
136	183	1153
137	184	1150
138	185	1148
139	186	1146
140	188	1147
141	189	1146
142	191	1146
143	192	1144
144	193	1142
145	194	1140
146	196	1138
147	197	1135
148	198	1134
149	200	1133
150	201	1135
151	203	1133
152	204	1132
153	206	1132
154	207	1131
155	208	1130
156	209	1127
157	211	1125
158	212	1123
159	213	1120
160	214	1118
161	215	1116
162	217	1115
163	218	1115
164	220	1114
165	222	1115
166	224	1118
167	226	1120
168	228	1122
169	229	1121
170	232	1124
171	233	1124
172	234	1123
173	236	1122
174	238	1123
175	240	1125
176	242	1129
177	245	1132
178	247	1134
179	249	1134
180	250	1134
181	252	1135
182	254	1134
183	256	1136
184	257	1135
185	259	1136
186	261	1136
187	263	1137
188	264	1136
189	266	1137
190	268	1136
191	269	1135
192	271	1136
193	273	1135
194	274	1133
195	275	1131
196	277	1130
197	279	1133
198	281	1133
199	283	1133
200	285	1133
201	286	1133
202	288	1132
203	289	1130
204	291	1130
205	292	1128
206	294	1127
207	295	1126
208	297	1124
209	298	1122
210	300	1122
211	301	1121
212	303	1121
213	305	1122
214	307	1122
215	309	1122
216	311	1122
217	312	1121
218	314	1120
219	315	1118
220	317	1118
221	319	1118
222	320	1118
223	322	1118
224	325	1120
225	327	1119
226	328	1119
227	330	1118
228	332	1117
229	333	1116
230	334	1114
231	336	1113
232	337	1111
233	339	1110
234	340	1109
235	342	1108
236	344	1107
237	345	1106
238	347	1106
239	349	1105
240	350	1104
241	352	1102
242	353	1102
243	355	1102
244	357	1101
245	358	1100
246	360	1098
247	361	1097
248	363	1095
249	365	1095
250	366	1094
251	368	1092
252	370	1092
253	371	1091
254	372	1089
255	374	1087
256	375	1085
257	377	1084
258	378	1083
259	380	1081
260	381	1080
261	382	1078
262	384	1077
263	385	1075
264	387	1074
265	388	1072
266	390	1070
267	391	1068
268	392	1067
269	394	1065
270	395	1063
271	396	1062
272	398	1061
273	399	1059
274	401	1057
275	402	1055
276	403	1053
277	405	1051
278	406	1050
279	408	1049
280	409	1048
281	411	1047
282	412	1044
283	413	1042
284	414	1040
285	416	1038
286	417	1036
287	418	1034
288	419	1032
289	420	1029
290	421	1027
291	423	1026
292	424	1025
293	426	1023
294	427	1022
295	429	1020
296	430	1018
297	431	1016
298	432	1014
299	433	1012
300	435	1010
301	436	1008
302	437	1007
303	438	1004
304	440	1003
305	441	1000
306	442	998
307	444	997
308	445	996
