iter	RMSE
0	8.740271463
1	8.733848811
2	8.720222041
3	8.717674276
4	8.716686465
5	8.715872879
6	8.715295884
7	8.71457953
8	8.713948093
9	8.712592967
10	8.712018509
11	8.711528943
12	8.693817704
13	8.690122842
14	8.686942906
15	8.686232111
16	8.685846852
17	8.68558451
18	8.683583903
19	8.681575101
20	8.67728154
21	8.677112473
22	8.67620485
23	8.674696483
24	8.649959777
25	8.649561163
26	8.649383026
27	8.64859958
28	8.647156946
29	8.646156229
30	8.645963661
31	8.645576057
32	8.638066055
33	8.637184199
34	8.634463689
35	8.621392618
36	8.621130814
37	8.620139113
38	8.619852898
39	8.615705687
40	8.613363187
41	8.613169942
42	8.606849418
43	8.605406301
44	8.596397736
45	8.596194496
46	8.596064027
47	8.595908518
48	8.595731297
49	8.595546761
50	8.595403788
51	8.595275263
52	8.595202901
53	8.587176109
54	8.587035403
55	8.586898166
56	8.586667624
57	8.585915488
58	8.582606278
59	8.581906697
60	8.581752174
61	8.577995619
62	8.576230862
63	8.576053555
64	8.575494579
65	8.575445847
66	8.569278879
67	8.565077359
68	8.564686317
69	8.563576979
70	8.55750483
71	8.557423198
72	8.555845832
73	8.555760459
74	8.554052044
75	8.553488733
76	8.550563086
77	8.540265712
78	8.539751516
79	8.538265934
80	8.537095176
81	8.536093995
82	8.535992255
83	8.535330542
84	8.534893666
85	8.534612509
86	8.534169236
87	8.532593741
88	8.531283466
89	8.531039272
90	8.530407094
91	8.529366774
92	8.529292526
93	8.527400825
94	8.526020549
95	8.525953922
96	8.525880985
97	8.52579894
98	8.525315278
99	8.525203316
100	8.521093235
101	8.520858995
102	8.52073387
103	8.513892126
104	8.500714876
105	8.50067598
106	8.499573555
107	8.499535983
108	8.498478506
109	8.495161626
110	8.494276778
111	8.494003915
112	8.490372378
113	8.490151092
114	8.489614607
115	8.487876945
116	8.487279863
117	8.487145752
118	8.486827858
119	8.484520459
120	8.481301093
121	8.481096687
122	8.478670639
123	8.478609603
124	8.478512006
125	8.478405604
126	8.476222948
127	8.475579902
128	8.475427054
129	8.475167501
130	8.474984347
131	8.470740651
132	8.47067095
133	8.470598473
134	8.470513229
135	8.470382176
136	8.459980998
137	8.459872976
138	8.452113813
139	8.446598384
140	8.445820378
141	8.445684301
142	8.445506096
143	8.426389648
144	8.426294038
145	8.425518169
146	8.423388919
147	8.423252176
148	8.421608231
149	8.421395537
150	8.421273352
151	8.420950613
152	8.420590569
153	8.413442461
154	8.413147023
155	8.412975533
156	8.412413233
157	8.412317778
158	8.412071535
159	8.403284991
160	8.4032372
161	8.402416042
162	8.402370594
163	8.402255804
164	8.401992129
165	8.401899236
166	8.401779747
167	8.401691445
168	8.401521922
169	8.399678743
170	8.39831808
171	8.398181108
172	8.398103823
173	8.397980341
174	8.397362511
175	8.397249618
176	8.394044227
177	8.393731831
178	8.393570754
179	8.393526494
180	8.393397363
181	8.393276863
182	8.393228831
183	8.393114213
184	8.393020421
185	8.392971989
186	8.391836212
187	8.391463318
188	8.391377249
189	8.391254409
190	8.390239363
191	8.384863169
192	8.38424497
193	8.382992037
194	8.382927991
195	8.381932234
196	8.377023042
197	8.376890599
198	8.376779514
199	8.374747247
200	8.374514091
201	8.368778391
202	8.368644146
203	8.368468107
204	8.36830871
205	8.36819468
206	8.368059945
207	8.367901003
208	8.364699289
209	8.364644947
210	8.364586858
211	8.362200142
212	8.361893101
213	8.358885253
214	8.358117015
215	8.357768735
216	8.357078301
217	8.356977183
218	8.35689264
219	8.356840619
220	8.353848056
221	8.353140763
222	8.352954117
223	8.352493696
224	8.352454053
225	8.331471441
226	8.330779157
227	8.330689975
228	8.330567153
229	8.330434046
230	8.32858872
231	8.328543261
232	8.326907802
233	8.325491521
234	8.325134882
235	8.324993718
236	8.324817306
237	8.324751365
238	8.324013433
239	8.323889248
240	8.320724964
241	8.317399909
242	8.31716309
243	8.315961802
244	8.315420758
245	8.315076855
246	8.314279819
247	8.31253176
248	8.305518243
249	8.304308561
250	8.303951603
251	8.303755059
252	8.30085178
253	8.300666526
254	8.298964678
255	8.297232761
256	8.297073246
257	8.291962409
258	8.291653667
259	8.29155544
260	8.291455784
261	8.291429279
262	8.290484086
263	8.289661546
264	8.289610866
265	8.28916359
266	8.278508339
267	8.278276692
268	8.278056361
269	8.277951678
270	8.277895538
271	8.277868852
272	8.277753087
273	8.27757266
274	8.269232747
275	8.269132918
276	8.26868542
277	8.26704159
278	8.266507184
279	8.266093108
280	8.265939291
281	8.265882006
282	8.265741871
283	8.264445452
284	8.264225024
285	8.26415415
286	8.26366723
287	8.262584653
288	8.262257104
289	8.262226886
290	8.261581254
291	8.26151271
292	8.261445191
293	8.261072369
294	8.261038433
295	8.261020521
296	8.260618661
297	8.26050041
298	8.253979066
299	8.2539585
300	8.253583066
301	8.253344909
302	8.253205875
303	8.251777677
304	8.251540564
305	8.251497662
306	8.251319208
307	8.251272947
308	8.250926171
309	8.250858448
310	8.250689137
311	8.25058827
312	8.250457648
313	8.250274643
314	8.250131033
315	8.249435719
316	8.249382425
317	8.24905708
318	8.248950224
319	8.245018771
320	8.244991101
321	8.244874516
322	8.241154534
323	8.240986062
324	8.239499082
325	8.239434145
326	8.238457353
327	8.238276898
328	8.237942002
329	8.237651801
330	8.237607113
331	8.237584069
332	8.237194746
333	8.23602877
334	8.235740824
335	8.235629214
336	8.235597493
337	8.235467883
338	8.235424152
339	8.235350105
340	8.235207354
341	8.23512123
342	8.235066747
343	8.233961474
344	8.233753286
345	8.23358376
346	8.233520459
347	8.233388042
348	8.233248476
349	8.233217972
350	8.230151476
351	8.229879186
352	8.22983718
353	8.229697048
354	8.229421175
355	8.229274401
356	8.22900541
357	8.228348595
358	8.228244489
359	8.227866423
360	8.225216212
361	8.225028401
362	8.224970082
363	8.224898219
364	8.224860184
365	8.22422934
366	8.224180528
367	8.220796329
368	8.219780979
369	8.219696366
370	8.219672071
371	8.219629132
372	8.219573727
373	8.216835439
374	8.216596133
375	8.216474716
376	8.216417051
377	8.216310209
378	8.216141098
379	8.215160566
380	8.215018227
381	8.214766799
382	8.214734827
383	8.212167633
384	8.211785557
385	8.21165381
386	8.211198896
387	8.211076533
388	8.20981922
389	8.209717179
390	8.209512919
391	8.209393806
392	8.209275642
393	8.208422668
394	8.208035653
395	8.207731734
396	8.20738694
397	8.207247646
